124,GB,1                                          
1124,GB,2
11123,GB,3
11124,GB,4
23244,GB,5
111123,GB,6
111124,GB,7
111232,GB,8
31,NGB,1
3324,NGB,2
12444,NGB,3
42142,NGB,4
21231,NGB,5
21321,NGB,6
432111,NGB,7
432423,NGB,8
214,GA,1
1121,GA,2
2144,GA,3
11214,GA,4
12144,GA,5
24321,GA,6
24324,GA,7
112144,GA,8
2432,NGA,1
3214,NGA,2
4121,NGA,3
12143,NGA,4
21212,NGA,5
243243,NGA,6
121121,NGA,7
121432,NGA,8
